"year","airport","iata","passengers"
2020,"Hartsfield–Jackson Atlanta International Airport","ATL",42918685
2021,"Hartsfield–Jackson Atlanta International Airport","ATL",75704760
2022,"Hartsfield–Jackson Atlanta International Airport","ATL",93699630
2023,"Hartsfield–Jackson Atlanta International Airport","ATL",104653451
2024,"Hartsfield–Jackson Atlanta International Airport","ATL",NA
2025,"Hartsfield–Jackson Atlanta International Airport","ATL",NA
2020,"Dubai International Airport","DXB",25836771
2021,"Dubai International Airport","DXB",29110609
2022,"Dubai International Airport","DXB",66069981
2023,"Dubai International Airport","DXB",86994365
2024,"Dubai International Airport","DXB",NA
2025,"Dubai International Airport","DXB",NA
2020,"Frankfurt Airport","FRA",18768601
2021,"Frankfurt Airport","FRA",24812849
2022,"Frankfurt Airport","FRA",48918482
2023,"Frankfurt Airport","FRA",59355389
2024,"Frankfurt Airport","FRA",NA
2025,"Frankfurt Airport","FRA",NA
2020,"Tokyo Haneda Airport","HND",31055210
2021,"Tokyo Haneda Airport","HND",25876429
2022,"Tokyo Haneda Airport","HND",50290705
2023,"Tokyo Haneda Airport","HND",78719302
2024,"Tokyo Haneda Airport","HND",NA
2025,"Tokyo Haneda Airport","HND",NA
2020,"Heathrow Airport","LHR",22111469
2022,"Heathrow Airport","LHR",61614508
2023,"Heathrow Airport","LHR",79183364
2024,"Heathrow Airport","LHR",NA
2025,"Heathrow Airport","LHR",NA
2021,"Beijing Daxing International Airport","PKX",25051012
2024,"Beijing Daxing International Airport","PKX",NA
2025,"Beijing Daxing International Airport","PKX",NA
